vehicleNo,lng,lat,CLUSTER
ԥLT0002,113.994087,33.591348,-1
ԥLT0003,113.462560,33.872053,-1
ԥLT0004,114.029518,33.564852,-1
ԥLT0005,114.005870,33.569000,-1
ԥLT0006,114.034073,33.576060,0
ԥLT0007,113.970467,33.615847,-1
ԥLT0009,114.010538,33.601829,7
ԥLT0010,114.033387,33.578162,0
ԥLT0012,114.022310,33.544443,9
ԥLT0013,114.037543,33.591297,-1
ԥLT0014,113.989570,33.610034,-1
ԥLT0015,113.972101,33.575516,-1
ԥLT0016,114.025470,33.596404,-1
ԥLT0018,114.030177,33.560560,-1
ԥLT0019,114.017937,33.590330,3
ԥLT0020,114.016074,33.567731,0
ԥLT0021,114.074240,33.548214,-1
ԥLT0022,114.006274,33.584648,1
ԥLT0023,113.845136,33.523781,-1
ԥLT0024,114.039188,33.585408,-1
ԥLT0025,114.051641,33.581746,-1
ԥLT0026,114.030387,33.544283,-1
ԥLT0027,113.987978,33.555976,-1
ԥLT0028,114.020852,33.548253,-1
ԥLT0029,114.009822,33.585043,1
ԥLT0030,114.004049,33.585166,1
ԥLT0031,114.042591,33.564036,14
ԥLT0032,113.988833,33.559085,-1
ԥLT0034,113.521903,33.301195,-1
ԥLT0035,114.065291,33.568043,2
ԥLT0036,114.018966,33.588537,3
ԥLT0037,114.029913,33.571172,0
ԥLT0038,114.079735,33.589503,-1
ԥLT0039,114.028375,33.564398,-1
ԥLT0040,114.064038,33.569378,2
ԥLT0041,114.080630,33.555026,-1
ԥLT0042,114.015232,33.589208,1
ԥLT0043,114.036580,33.570216,0
ԥLT0044,113.376073,34.179723,-1
ԥLT0045,114.030490,33.571804,0
ԥLT0046,114.031751,33.580518,0
ԥLT0047,114.050113,33.569996,12
ԥLT0048,114.062465,33.569493,2
ԥLT0049,113.983584,33.566481,-1
ԥLT0050,114.007996,33.579855,-1
ԥLT0051,114.010016,33.558279,10
ԥLT0053,114.055359,33.583007,4
ԥLT0054,114.051326,33.546414,-1
ԥLT0055,114.009056,33.557118,10
ԥLT0056,113.998930,33.601535,8
ԥLT0057,114.020642,33.560408,0
ԥLT0058,114.054430,33.561921,-1
ԥLT0060,113.964164,33.547415,-1
ԥLT0061,113.999838,33.590124,1
ԥLT0062,114.017621,33.583596,-1
ԥLT0063,114.050278,33.602400,-1
ԥLT0064,114.014699,33.598483,7
ԥLT0065,113.982090,33.597960,-1
ԥLT0066,114.022355,33.544328,9
ԥLT0067,113.989531,33.598943,-1
ԥLT0068,114.009679,33.578691,-1
ԥLT0069,114.020960,33.563830,0
ԥLT0070,114.075405,33.587180,-1
ԥLT0071,114.054994,33.569660,2
ԥLT0072,114.089591,33.498125,-1
ԥLT0073,114.037499,33.586353,-1
ԥLT0075,113.975367,33.594455,-1
ԥLT0076,114.203007,33.577580,-1
ԥLT0077,114.075274,33.584767,-1
ԥLT0078,114.043443,33.561002,14
ԥLT0079,113.967770,33.570533,-1
ԥLT0080,114.030539,33.590204,5
ԥLT0081,113.992200,33.594751,-1
ԥLT0082,114.622763,33.582840,-1
ԥLT0083,114.020883,33.609675,-1
ԥLT0084,113.959935,33.574684,6
ԥLT0085,114.019653,33.609681,-1
ԥLT0086,114.027234,33.571012,0
ԥLT0087,114.059367,33.582428,-1
ԥLT0088,114.019806,33.539654,-1
ԥLT0089,114.011105,33.600793,7
ԥLT0090,113.996814,33.599860,8
ԥLT0091,114.028688,33.570482,0
ԥLT0092,113.962078,33.572881,6
ԥLT0093,114.008214,33.583072,1
ԥLT0094,113.991018,33.591994,-1
ԥLT0095,114.015108,33.593670,7
ԥLT0096,114.024238,33.570421,0
ԥLT0097,114.045510,33.561543,14
ԥLT0098,114.010403,33.552427,10
ԥLT0099,114.030189,33.576593,0
ԥLT0100,114.000722,33.551800,-1
ԥLT0101,113.959843,33.573925,6
ԥLT0102,114.025640,33.596385,-1
ԥLT0103,114.039630,33.574110,0
ԥLT0104,114.001459,33.561394,-1
ԥLT0105,114.020270,33.562805,0
ԥLT0106,114.003133,33.594471,1
ԥLT0107,113.934169,33.581585,-1
ԥLT0108,114.019486,33.573314,0
ԥLT0109,114.068799,33.588017,-1
ԥLT0110,114.061984,33.569509,2
ԥLT0112,114.041492,33.567695,-1
ԥLT0113,113.959927,33.574796,6
ԥLT0114,114.016116,33.553093,0
